"","Station","n","month","day","hour"
"1",31000,7,6,0,0
"2",31001,2,6,0,0
"3",31002,4,6,0,0
"4",31003,1,6,0,0
"5",31004,5,6,0,0
"6",31005,8,6,0,0
"7",31006,13,6,0,0
"8",31007,4,6,0,0
"9",31009,3,6,0,0
"10",31011,4,6,0,0
"11",31013,9,6,0,0
"12",31014,32,6,0,0
"13",31015,22,6,0,0
"14",31016,6,6,0,0
"15",31017,1,6,0,0
"16",31019,4,6,0,0
"17",31020,2,6,0,0
"18",31021,3,6,0,0
"19",31022,3,6,0,0
"20",31023,4,6,0,0
"21",31024,8,6,0,0
"22",31025,6,6,0,0
"23",31026,7,6,0,0
"24",31027,4,6,0,0
"25",31029,5,6,0,0
"26",31030,2,6,0,0
"27",31031,5,6,0,0
"28",31032,5,6,0,0
"29",31033,8,6,0,0
"30",31034,1,6,0,0
"31",31035,4,6,0,0
"32",31036,5,6,0,0
"33",31037,7,6,0,0
"34",31038,1,6,0,0
"35",31039,1,6,0,0
"36",31040,2,6,0,0
"37",31041,24,6,0,0
"38",31042,6,6,0,0
"39",31043,14,6,0,0
"40",31044,9,6,0,0
"41",31045,13,6,0,0
"42",31046,10,6,0,0
"43",31047,16,6,0,0
"44",31048,6,6,0,0
"45",31049,6,6,0,0
"46",31050,4,6,0,0
"47",31051,5,6,0,0
"48",31052,5,6,0,0
"49",31053,1,6,0,0
"50",31054,5,6,0,0
"51",31055,7,6,0,0
"52",31056,3,6,0,0
"53",31057,5,6,0,0
"54",31058,3,6,0,0
"55",31059,9,6,0,0
"56",31060,9,6,0,0
"57",31061,6,6,0,0
"58",31062,10,6,0,0
"59",31063,7,6,0,0
"60",31064,6,6,0,0
"61",31065,7,6,0,0
"62",31066,1,6,0,0
"63",31067,4,6,0,0
"64",31068,14,6,0,0
"65",31069,8,6,0,0
"66",31070,2,6,0,0
"67",31071,21,6,0,0
"68",31073,10,6,0,0
"69",31074,7,6,0,0
"70",31075,5,6,0,0
"71",31076,12,6,0,0
"72",31077,34,6,0,0
"73",31078,5,6,0,0
"74",31079,10,6,0,0
"75",31080,9,6,0,0
"76",31081,3,6,0,0
"77",31082,7,6,0,0
"78",31083,10,6,0,0
"79",31084,9,6,0,0
"80",31085,9,6,0,0
"81",31086,12,6,0,0
"82",31087,17,6,0,0
"83",31088,16,6,0,0
"84",31089,6,6,0,0
"85",31090,7,6,0,0
"86",31091,9,6,0,0
"87",31092,7,6,0,0
"88",31093,1,6,0,0
"89",31094,8,6,0,0
"90",31095,4,6,0,0
"91",31096,9,6,0,0
"92",31097,6,6,0,0
"93",31098,13,6,0,0
"94",31099,8,6,0,0
"95",31100,3,6,0,0
"96",31101,47,6,0,0
"97",31102,18,6,0,0
"98",31103,12,6,0,0
"99",31104,16,6,0,0
"100",31105,8,6,0,0
"101",31106,8,6,0,0
