"","year","month","day","tmax","tmin","prcp"
"1",2018,1,1,26.2,13.1,0
"2",2018,1,2,26.2,13.1,0
"3",2018,1,3,35.1,13.1,0
"4",2018,1,4,27.1,16.2,0.1
"5",2018,1,5,21.2,13.1,0
"6",2018,1,6,21.2,11.1,0
"7",2018,1,7,23.2,8.2,0
"8",2018,1,8,39,19.2,0.06
"9",2018,1,9,51.1,30.2,0
"10",2018,1,10,43,27.1,0
"11",2018,1,11,62.1,37.9,0
"12",2018,1,12,64,57,0.37
"13",2018,1,13,62.1,21.2,0.11
"14",2018,1,14,28.2,17.2,0
"15",2018,1,15,32,18.1,0
"16",2018,1,16,43,30.2,0
"17",2018,1,17,37,20.1,0.03
"18",2018,1,18,46.9,19.2,0
"19",2018,1,19,51.1,25.2,0
"20",2018,1,20,63,28.2,0
"21",2018,1,21,61,32,0
"22",2018,1,22,64.9,46.9,0
"23",2018,1,23,68,46.9,0.11
"24",2018,1,24,48,35.1,0
"25",2018,1,25,42.1,31.1,0
"26",2018,1,26,50,28.2,0
"27",2018,1,27,63,37.9,0
"28",2018,1,28,57,46.9,0.16
"29",2018,1,29,48,41,0
"30",2018,1,30,41,24.3,0
"31",2018,1,31,41,21.2,0
"32",2018,2,1,54,39.9,0.02
"33",2018,2,2,43,19.2,0.04
"34",2018,2,3,36,17.2,0
"35",2018,2,4,37,33.1,1.12
"36",2018,2,5,39,27.1,0
"37",2018,2,6,43,28.2,0
"38",2018,2,7,43,33.1,0.49
"39",2018,2,8,37.9,26.2,0
"40",2018,2,9,46,27.1,0
"41",2018,2,10,50,39,1.06
"42",2018,2,11,68,45,1.05
"43",2018,2,12,64.9,37,0.09
"44",2018,2,13,43,33.1,0
"45",2018,2,14,53.1,34,0.03
"46",2018,2,15,73.9,46.9,0.01
"47",2018,2,16,66.9,39.9,0.05
"48",2018,2,17,44.1,34,0.42
"49",2018,2,18,51.1,33.1,0
"50",2018,2,19,50,39.9,0.02
"51",2018,2,20,78.1,48.9,0
"52",2018,2,21,82,55.9,0
"53",2018,2,22,66.9,43,0.06
"54",2018,2,23,48,41,0
"55",2018,2,24,53.1,48,0.16
"56",2018,2,25,54,46.9,0.17
"57",2018,2,26,53.1,41,0
"58",2018,2,27,57.9,36,0
"59",2018,2,28,64,44.1,0
"60",2018,3,1,59,48.9,0.09
"61",2018,3,2,54,39,0.01
"62",2018,3,3,53.1,36,0
"63",2018,3,4,53.1,35.1,0
"64",2018,3,5,48.9,31.1,0
"65",2018,3,6,46,33.1,0.3
"66",2018,3,7,51.1,34,0.03
"67",2018,3,8,46,34,0
"68",2018,3,9,46,33.1,0
"69",2018,3,10,48.9,31.1,0
"70",2018,3,11,52,31.1,0
"71",2018,3,12,46,34,0.01
"72",2018,3,13,46.9,33.1,0
"73",2018,3,14,44.1,32,0
"74",2018,3,15,55,31.1,0
"75",2018,3,16,46.9,34,0
"76",2018,3,17,46,32,0
"77",2018,3,18,59,34,0
"78",2018,3,19,55.9,36,0
"79",2018,3,20,43,32,0.87
"80",2018,3,21,36,32,0.49
"81",2018,3,22,48.9,34,0
"82",2018,3,23,51.1,35.1,0
"83",2018,3,24,52,33.1,0
"84",2018,3,25,48,34,0
"85",2018,3,26,50,34,0
"86",2018,3,27,48,34,0.02
"87",2018,3,28,57.9,43,0.1
"88",2018,3,29,78.1,48,0
"89",2018,3,30,77,45,0
"90",2018,3,31,61,39,0
"91",2018,4,1,66.9,50,0
"92",2018,4,2,54,42.1,0.02
"93",2018,4,3,55.9,44.1,0.01
"94",2018,4,4,73,42.1,0
"95",2018,4,5,55.9,34,0
"96",2018,4,6,72,44.1,0
"97",2018,4,7,66.9,37,0
"98",2018,4,8,51.1,34,0
"99",2018,4,9,46,37.9,0.02
"100",2018,4,10,55,37.9,0
